date,step_count,move_minutes_count,calories,distance,average_speed,max_speed,min_speed,city,country,country_code,weather,travel_day
2025-10-04,18282.0,210.0,3374.0931395502125,11813.165326670269,0.4556135044945351,1.4045468966088386,0.2546584031449314,Paris,France,FR,Rain,False
2025-10-05,11689.0,127.0,2748.5413175894223,7386.852565615628,0.4790864289344786,1.5834669601038998,0.2550294451604079,Paris,France,FR,Clouds,False
2025-10-06,8719.0,112.0,2609.50028848302,5221.545344702928,0.3919279222758893,1.3505104464812072,0.2537364991307213,Paris,France,FR,Clouds,False
2025-10-07,8267.0,103.0,2917.5755456059023,4751.608009732494,0.5790284835544006,1.9188337448326085,0.2490481642677214,Paris,France,FR,Clear,False
2025-10-08,10089.0,131.0,2944.0137953666385,5958.588946791949,0.4672318162524282,1.4156719610156794,0.2483503904825803,Paris,France,FR,Mist,False
2025-10-09,14013.0,169.0,3033.484162907888,8604.021243160576,0.5620445829625296,1.6645863139824864,0.2539339017556904,Paris,France,FR,Clouds,False
2025-10-10,9735.0,125.0,2878.954127957127,5867.082180068504,0.5482436630455574,1.46720468653451,0.2479502765459657,Paris,France,FR,Clouds,False
2025-10-11,16893.0,204.0,3172.259514221826,10605.809789146022,0.589714723197205,1.847907908687372,0.2528865969129455,Paris,France,FR,Clouds,False
2025-10-12,17102.0,215.0,3231.1770752993543,10741.751692496691,0.5513062471758522,1.587523153965111,0.2476014030683572,Paris,France,FR,Clear,False
2025-10-13,8500.0,91.0,2526.9717453371945,5313.922548996092,0.5002412780782953,1.4674183691728615,0.2550294451604079,Paris,France,FR,Clouds,False
2025-10-14,8645.0,114.0,2786.2458519903507,5269.229830752147,0.6737565704738541,1.6271101922224809,0.2550294451604079,Paris,France,FR,Clouds,False
